id	name	snippet	url
737079	Terythis?	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/737079
737080	*Thallos	Settlement; 2168 BC - AD 2100	http://pleiades.stoa.org/places/737080
737081	Theadelpheia	Settlement; 330 BC - AD 2100	http://pleiades.stoa.org/places/737081
737085	Thmoinepsi	Settlement; AD 300 - AD 2100	http://pleiades.stoa.org/places/737085
737086	Thmoiamounis	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/737086
737087	Tholthis	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/737087
737088	Tihna	Mine; 330 BC - AD 300	http://pleiades.stoa.org/places/737088
737089	Tilothis/Neiloupolis	Settlement; 330 BC - AD 2100	http://pleiades.stoa.org/places/737089
737090	Tinteris	Settlement; 330 BC - AD 2100	http://pleiades.stoa.org/places/737090
737091	Tmou	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/737091
737092	Toachris	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/737092
737093	Tomis fl.	River; 30 BC - AD 2100	http://pleiades.stoa.org/places/737093
737094	Toou/Theodosioupolis	Settlement; 30 BC - AD 2100	http://pleiades.stoa.org/places/737094
737096	Troikon Oros	Mountain, Mine; 330 BC - AD 2100	http://pleiades.stoa.org/places/737096
737097	Tsimistea	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/737097
737099	Umm Suwagi	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/737099
737103	Wadi Sheikh Yasin	Mine; 330 BC - 30 BC	http://pleiades.stoa.org/places/737103
737105	Zawyet el-Sultan	Mine; 330 BC - AD 300	http://pleiades.stoa.org/places/737105
746701	Aelaniticus Sinus	Water-open; 30 BC - AD 2100	http://pleiades.stoa.org/places/746701
746706	Ain Hudera	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/746706
746707	Ain Nagila	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746707
746713	Arandara	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/746713
746714	el-Arba'in	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746714
746727	ed-Deir	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746727
746728	Deir Antush	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746728
746729	Deir Rumhan	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746729
746730	Deir Umm Arad	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746730
746731	Deir Umm Butme	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746731
746733	Farsh el-Qasr	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746733
746734	Farsh Habash	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746734
746736	el-Fra'iyeh	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746736
746740	Geth Rabbi	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746740
746741	Gypsaria?	Station; 330 BC - AD 640	http://pleiades.stoa.org/places/746741
746745	Horeb Mons, Mon.	Church; AD 300 - AD 2100	http://pleiades.stoa.org/places/746745
746747	Iotabe? Ins.	Island; AD 1700 - AD 2100	http://pleiades.stoa.org/places/746747
746751	Jebel Moneijah	Sanctuary; 30 BC - AD 300	http://pleiades.stoa.org/places/746751
746752	Jebel Serbal	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746752
746756	el-Khirbet	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746756
