id	name	snippet	url
216978	Securisca	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/216978
216980	Sernota	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/216980
216981	Seuthopolis	Settlement, Tumulus; 330 BC - 30 BC	http://pleiades.stoa.org/places/216981
216982	Sexaginta Prista	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/216982
216983	Shoumen	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/216983
216984	Shkorpilovtsi	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/216984
216989	Sostra	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/216989
216992	Storgosia	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/216992
216995	Sub Radices	Station; 30 BC - AD 640	http://pleiades.stoa.org/places/216995
216999	Sveshtari	Tumulus; 330 BC - 30 BC	http://pleiades.stoa.org/places/216999
217003	Tegris	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217003
217004	Tegulitium	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217004
217013	Tirizis	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/217013
217014	Tirizis Pr.	Cape; 330 BC - AD 2100	http://pleiades.stoa.org/places/217014
217021	Transmarisca	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217021
217023	Trimammium	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217023
217028	Tsaravets	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/217028
217030	Tylis	Settlement; 330 BC - 30 BC	http://pleiades.stoa.org/places/217030
217033	Utus	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217033
217034	Utus fl.	River; 30 BC - AD 2100	http://pleiades.stoa.org/places/217034
217038	Valeriana	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217038
217039	Variana	Fort; 30 BC - AD 640	http://pleiades.stoa.org/places/217039
217040	Viamata	Station; AD 300 - AD 640	http://pleiades.stoa.org/places/217040
217041	Vicus ‘Bapeni’	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/217041
217046	Vicus Longinopara	Settlement; 30 BC - AD 300	http://pleiades.stoa.org/places/217046
217053	Vicus Siamus	Settlement; 30 BC - AD 300	http://pleiades.stoa.org/places/217053
217054	Vicus Trullensium	Settlement; 30 BC - AD 300	http://pleiades.stoa.org/places/217054
217061	Voivoda	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/217061
217063	Yaila	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/217063
218198	Untitled	Bridge; 30 BC - AD 300	http://pleiades.stoa.org/places/218198
221972	Acrae	Unlocated, Settlement-modern; 330 BC - AD 2100	http://pleiades.stoa.org/places/221972
222205	Thera/Tira	Unlocated, Island; 30 BC - AD 640	http://pleiades.stoa.org/places/222205
405244946	Thracian Tomb of Kazanlak	Tomb; 330 BC - 30 BC	http://pleiades.stoa.org/places/405244946
